conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_file,clean_text
1901103107792400563,Sun Mar 16 02:47:56 +0000 2025,10,kasian temen-temenku yang udah lulus pns udah resign dari kerjaann udah berharap dan dapetin gaji pasti tapi ditunda pengangkatannya fan harus nganggur 7 bulan lagi itu bukan waktu yang sebentar yaAllah jahat bgt orang-orang pada zalim ,1901103107792400563,,,in,,0,0,0,https://x.com/undefined/status/1901103107792400563,1133899075810578433,,tweets-data/lulus_tapi_nganggur.csv,kasian tementemenku yang udah lulus pns udah resign dari kerjaann udah berharap dan dapetin gaji pasti tapi ditunda pengangkatannya fan harus nganggur  bulan lagi itu bukan waktu yang sebentar yaallah jahat bgt orangorang pada zalim
1901038951919743312,Sat Mar 15 22:33:00 +0000 2025,0,As far as i know di lingkungan ku yg anaknya lulusan PTN Top 3 ada yg picky sehingga nganggur berbulan bulan bahkan tahun tapi ada juga yg memang abis lulus masuk ke company yg terkenal. Tapi ya memang kalo mau ngomong kasar dikit ya ke tipikal manusia picky kek gatau diri.,1901038951919743312,,,in,,0,1,0,https://x.com/undefined/status/1901038951919743312,1363724237366697984,,tweets-data/lulus_tapi_nganggur.csv,as far as i know di lingkungan ku yg anaknya lulusan ptn top  ada yg picky sehingga nganggur berbulan bulan bahkan tahun tapi ada juga yg memang abis lulus masuk ke company yg terkenal tapi ya memang kalo mau ngomong kasar dikit ya ke tipikal manusia picky kek gatau diri
1900819396798673280,Sat Mar 15 13:52:39 +0000 2025,18,@Falkenhaynz Kelamaan nganggur tapi masih disupport biaya bulanan sama ortu/caregiver. Tiba2 kuliah S2 lulus nganggur lagi.,1900908002116256038,,keharyapatihan,in,,0,0,0,https://x.com/undefined/status/1900908002116256038,38125159,,tweets-data/lulus_tapi_nganggur.csv,kelamaan nganggur tapi masih disupport biaya bulanan sama ortucaregiver tiba kuliah s lulus nganggur lagi
1900878290593964345,Sat Mar 15 11:54:35 +0000 2025,0,keinget dulu kalau udah lulus tapi nganggur lama mending pulkam suruh ke kebun bantuin manen sawit sangat jadi pecutan buat cari kerja bahkan sebelum lulus,1900878290593964345,,,in,,0,0,0,https://x.com/undefined/status/1900878290593964345,2236023703,,tweets-data/lulus_tapi_nganggur.csv,keinget dulu kalau udah lulus tapi nganggur lama mending pulkam suruh ke kebun bantuin manen sawit sangat jadi pecutan buat cari kerja bahkan sebelum lulus
1900460699525984482,Sat Mar 15 04:47:16 +0000 2025,0,@tanyarlfes Dri kuliah sampe lulus dia nebeng (dia g bisa bawa motor) sering minta anter sanasini Waktu dia udh kerja aku mash nganggur dia masih minta anter tapi stiap jajan aku yg bayarin Tiba2 dia nagih duit parkir 4 REBU makan/bensin aja g pernah aku tagih INI 4RB DOANG DITAGIH ANJRR,1900770752766636416,,tanyarlfes,in,,0,1,0,https://x.com/undefined/status/1900770752766636416,1344627574970826753,,tweets-data/lulus_tapi_nganggur.csv,dri kuliah sampe lulus dia nebeng dia g bisa bawa motor sering minta anter sanasini waktu dia udh kerja aku mash nganggur dia masih minta anter tapi stiap jajan aku yg bayarin tiba dia nagih duit parkir  rebu makanbensin aja g pernah aku tagih ini rb doang ditagih anjrr
1900117186263269719,Thu Mar 13 17:00:25 +0000 2025,16,@worksfess Aku lulus th 2018 nganggur 1th awal ngurus ijazah dan jadi jobseeker bahkan sempet interview di kantor yg sekarang tapi ga lolos abis itu covid jadi total nganggur 3th. Th 2022 diajak kerja ponakanku dan hampir 3bln disana dapet info loker di kantor yg sekarang trus lolos deh,1900230481050034528,,worksfess,in,,0,0,0,https://x.com/undefined/status/1900230481050034528,146338624,,tweets-data/lulus_tapi_nganggur.csv,aku lulus th  nganggur th awal ngurus ijazah dan jadi jobseeker bahkan sempet interview di kantor yg sekarang tapi ga lolos abis itu covid jadi total nganggur th th  diajak kerja ponakanku dan hampir bln disana dapet info loker di kantor yg sekarang trus lolos deh
1900134790495363275,Thu Mar 13 12:04:51 +0000 2025,5,@tanyakanrl Aku baru lulus sekolah tuh langsung kerja bahkan waktu belum pembagian ijazah udah kerja nganggur pas resign kerja tetep ada duit dari tabungan kemarin jadi ya tetep aman tapi ya nganggur nggak lama sih soalnya udah ada panggilan kerja lg buru bgt,1900156095991341191,,tanyakanrl,in,,0,0,0,https://x.com/undefined/status/1900156095991341191,1105468554051125248,,tweets-data/lulus_tapi_nganggur.csv,aku baru lulus sekolah tuh langsung kerja bahkan waktu belum pembagian ijazah udah kerja nganggur pas resign kerja tetep ada duit dari tabungan kemarin jadi ya tetep aman tapi ya nganggur nggak lama sih soalnya udah ada panggilan kerja lg buru bgt
1900092010700431402,Thu Mar 13 07:50:12 +0000 2025,0,ya Allah pengen buruan kerja uda siap ini di hantam ke hectic an kantorrr gedebak gedebukk sambil ya Allah ya Allah tapi tetepp di kerjain kokkk seriusss ga boong i swearrr yaa i know baru lulus bulan lalu TAPI UDA GA BETAH NGANGGUR YA ALLAH SUMPRITT GA BOONG️,1900092010700431402,,,in,,0,0,0,https://x.com/undefined/status/1900092010700431402,1510836263053848578,,tweets-data/lulus_tapi_nganggur.csv,ya allah pengen buruan kerja uda siap ini di hantam ke hectic an kantorrr gedebak gedebukk sambil ya allah ya allah tapi tetepp di kerjain kokkk seriusss ga boong i swearrr yaa i know baru lulus bulan lalu tapi uda ga betah nganggur ya allah sumpritt ga boong
1900005182240412157,Thu Mar 13 02:10:14 +0000 2025,7,@worksfess kalo dulu pas nganggur aku jualan makanan karna suka masak (jual risol mayo ayam pompom nasi kulit). bantu kerjain full bab skripsi temen ku tapi pas lulus jadi gatau diri,1900006458756071525,,worksfess,in,,0,1,0,https://x.com/undefined/status/1900006458756071525,1667046778548674560,,tweets-data/lulus_tapi_nganggur.csv,kalo dulu pas nganggur aku jualan makanan karna suka masak jual risol mayo ayam pompom nasi kulit bantu kerjain full bab skripsi temen ku tapi pas lulus jadi gatau diri
1899355779091849655,Tue Mar 11 23:19:00 +0000 2025,0,@alongaiel 25 tapi 24 hidup belum pernah ngerasain pacaran. mana lagi strugle banget buat nyari kerja after setahun lulus masih nganggur. yaaa namanya juga hidup,1899600977512255895,,alongaiel,in,,0,0,0,https://x.com/undefined/status/1899600977512255895,1561309514233548801,,tweets-data/lulus_tapi_nganggur.csv,tapi  hidup belum pernah ngerasain pacaran mana lagi strugle banget buat nyari kerja after setahun lulus masih nganggur yaaa namanya juga hidup
1898986994954547589,Mon Mar 10 16:56:15 +0000 2025,0,@Jfehyun HAHAHA tolong ya aku udah lulus ini Zar tapi seragamnya aja yang sayang kalo nganggur di lemari. ,1899142266662555836,,Jfehyun,in,,0,0,0,https://x.com/undefined/status/1899142266662555836,766734155216543745,,tweets-data/lulus_tapi_nganggur.csv,hahaha tolong ya aku udah lulus ini zar tapi seragamnya aja yang sayang kalo nganggur di lemari
1899080256163811786,Mon Mar 10 12:49:50 +0000 2025,0,Lulusan S1 psikologi setelah lulus juli'23 sampe sekarang masih nganggur belum ada panggilan kerja dari yang nyari² online sampe nanya² calo dan baru banget hari ini ada yg nawarin loker dipabrik sepatu bagian sewing gaji umr cikande tapi bayar 17 juta. Menurut kalian gimna?,1899080256163811786,,,in,,0,2,0,https://x.com/undefined/status/1899080256163811786,1367650130912890883,,tweets-data/lulus_tapi_nganggur.csv,lulusan s psikologi setelah lulus juli sampe sekarang masih nganggur belum ada panggilan kerja dari yang nyari² online sampe nanya² calo dan baru banget hari ini ada yg nawarin loker dipabrik sepatu bagian sewing gaji umr cikande tapi bayar  juta menurut kalian gimna
1899064583857553779,Mon Mar 10 11:47:34 +0000 2025,0,Moga aja dari iseng² ikut tes jadi keterima biar nanti lulus sekolah gak nganggur tapi langsung kerja ya meskipun bukan PT yang dimau https://t.co/ZP9DP1D3Ql,1899064583857553779,https://pbs.twimg.com/media/GlrVLGoaoAAxBa7.jpg,,in,,0,2,0,https://x.com/undefined/status/1899064583857553779,1542066472603639808,,tweets-data/lulus_tapi_nganggur.csv,moga aja dari iseng² ikut tes jadi keterima biar nanti lulus sekolah gak nganggur tapi langsung kerja ya meskipun bukan pt yang dimau
1898957039188996265,Mon Mar 10 08:04:42 +0000 2025,4,@icedtea_manis @tanyakanrl Baru mau ngetik ginii wkwk Gue jg lulusan hukum dan banyak temen bahkan kating yg lulus duluan masih nganggur tapi gabisa nyalahin jurusannya soalnya yg ga sejurusan lebih banyak lagi yg nganggur ,1899008498060636529,,icedtea_manis,in,,0,0,0,https://x.com/undefined/status/1899008498060636529,1479476520619941892,,tweets-data/lulus_tapi_nganggur.csv,baru mau ngetik ginii wkwk gue jg lulusan hukum dan banyak temen bahkan kating yg lulus duluan masih nganggur tapi gabisa nyalahin jurusannya soalnya yg ga sejurusan lebih banyak lagi yg nganggur
1898611022107140474,Mon Mar 10 06:56:44 +0000 2025,8,@Colokankabel10 @admiralkizaruuu @tanyarlfes Jangan bong temen lo nganggur tapi dri keluarga kaya? Tmn gue gitu soalnya lulus kuliah cuma main2 sana sini ga ada kerjaan tpi bapaknya punya PT,1898991393437254045,,Colokankabel10,in,,0,0,0,https://x.com/undefined/status/1898991393437254045,1404102471052500992,,tweets-data/lulus_tapi_nganggur.csv,jangan bong temen lo nganggur tapi dri keluarga kaya tmn gue gitu soalnya lulus kuliah cuma main sana sini ga ada kerjaan tpi bapaknya punya pt
1898603467637219606,Mon Mar 10 04:50:41 +0000 2025,1,@worksfess aku lulusan smk nganggur cuma 3 bulan dulu tuh puasa senin kamis shalat dhuha al waqiah sm rajin dzikir aja sih tapi aku lakuin itu semua rutin dari smk kls 2 karna emng niat hbs lulus langsung kerja hehe alhamdulillah cpt dpt nya gaji juga di atas rata2 lulusan smk lah,1898959670875664789,,worksfess,in,,0,0,0,https://x.com/undefined/status/1898959670875664789,1426058833198084097,,tweets-data/lulus_tapi_nganggur.csv,aku lulusan smk nganggur cuma  bulan dulu tuh puasa senin kamis shalat dhuha al waqiah sm rajin dzikir aja sih tapi aku lakuin itu semua rutin dari smk kls  karna emng niat hbs lulus langsung kerja hehe alhamdulillah cpt dpt nya gaji juga di atas rata lulusan smk lah
1898431053427007604,Sat Mar 08 20:46:09 +0000 2025,0,@dsat911 @tanyarlfes Sama. Lulus itu masih bisa diusahakan ada yg dituju (dosen kaprodi) bisa saling menguntungkan (kalo sampai DO bikin akreditasi universitas nggak baik) tapi kalo cari kerja murni organik itu beneran kek random dan lucky jadi kalo masih nganggur so far kita sudah mengusahakan.,1898475346787439029,,dsat911,in,,0,0,0,https://x.com/undefined/status/1898475346787439029,1156538512901988353,,tweets-data/lulus_tapi_nganggur.csv,sama lulus itu masih bisa diusahakan ada yg dituju dosen kaprodi bisa saling menguntungkan kalo sampai do bikin akreditasi universitas nggak baik tapi kalo cari kerja murni organik itu beneran kek random dan lucky jadi kalo masih nganggur so far kita sudah mengusahakan
1898422725276029203,Sat Mar 08 17:24:54 +0000 2025,0,@rhdagstn gaji itu privasi ga sopan temen mu itu apalagi kalau dia tau kamu masi nganggur. tapi kamu keren lagi kuliah hebat loh itu fokus aja sama kuliahmu nanti kalau udh lulus dapet gelar semoga dapet pekerjaan yg layak dan di atas umr yaa semangat ,1898424702361915447,,rhdagstn,in,,0,1,0,https://x.com/undefined/status/1898424702361915447,2557911018,,tweets-data/lulus_tapi_nganggur.csv,gaji itu privasi ga sopan temen mu itu apalagi kalau dia tau kamu masi nganggur tapi kamu keren lagi kuliah hebat loh itu fokus aja sama kuliahmu nanti kalau udh lulus dapet gelar semoga dapet pekerjaan yg layak dan di atas umr yaa semangat
1898270959091736686,Sat Mar 08 07:13:59 +0000 2025,0,ini mama ku banget kayanya aku lulus sma nganggur 3 tahunan karna gak tau tujuan hidup mau kemana tapi Alhamdulillah punya ortu yg selalu support dalam kondisi apapun alhamdulilah sekarang udah kuliah smt 4 dengan biaya sendiri uang hasil freelance dll,1898270959091736686,,,in,,0,0,0,https://x.com/undefined/status/1898270959091736686,724259186096242690,,tweets-data/lulus_tapi_nganggur.csv,ini mama ku banget kayanya aku lulus sma nganggur  tahunan karna gak tau tujuan hidup mau kemana tapi alhamdulillah punya ortu yg selalu support dalam kondisi apapun alhamdulilah sekarang udah kuliah smt  dengan biaya sendiri uang hasil freelance dll
1897991410374394281,Fri Mar 07 12:43:09 +0000 2025,0,Yaampun untung gw blm lulus kmrin kalau iya pasti udh resign duluan byangin sampe bulan 10 nganggur g bkl bisa disyukuri aja yg skrg. Meski bukan pns tapi udah stable smpe umur 60,1897991410374394281,,,in,,0,0,0,https://x.com/undefined/status/1897991410374394281,559361856,,tweets-data/lulus_tapi_nganggur.csv,yaampun untung gw blm lulus kmrin kalau iya pasti udh resign duluan byangin sampe bulan  nganggur g bkl bisa disyukuri aja yg skrg meski bukan pns tapi udah stable smpe umur
1897976292672454745,Fri Mar 07 11:43:05 +0000 2025,1,Lulus Cpns kerja ️ Lulus cpns tetep nganggur Tmt 1 oktober tapi spmt masih belum jelas kapan #CPNS #SAVECASN2024 #TOLAKKEBIJAKANTMTSERENTAK #tolaktmtserentak https://t.co/JlI8ahcud2,1897976292672454745,https://pbs.twimg.com/media/Glb3X2YbwAMis73.jpg,,in,,0,0,0,https://x.com/undefined/status/1897976292672454745,1764620922391310336,,tweets-data/lulus_tapi_nganggur.csv,lulus cpns kerja  lulus cpns tetep nganggur tmt  oktober tapi spmt masih belum jelas kapan cpns savecasn tolakkebijakantmtserentak tolaktmtserentak
1897976064963719562,Fri Mar 07 11:42:11 +0000 2025,0,Lulus Cpns kerja ️ Lulus cpns tetep nganggur Tmt 1 oktober tapi spmt masih belum jelas kapan https://t.co/BcjNSQsFPt,1897976064963719562,https://pbs.twimg.com/media/Glb3K0nbwAMLXX4.jpg,,in,,0,0,1,https://x.com/undefined/status/1897976064963719562,1764620922391310336,,tweets-data/lulus_tapi_nganggur.csv,lulus cpns kerja  lulus cpns tetep nganggur tmt  oktober tapi spmt masih belum jelas kapan
1897944667817492804,Fri Mar 07 09:39:11 +0000 2025,0,@igairi udah lulus kuliah tapi masih nganggur jadi kesibukannya apply apply kerja kak,1897945112858312853,,pipon2020,in,,0,0,0,https://x.com/undefined/status/1897945112858312853,1302611287608705026,,tweets-data/lulus_tapi_nganggur.csv,udah lulus kuliah tapi masih nganggur jadi kesibukannya apply apply kerja kak
